City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
210,Neiafu,TO,-18.65,-173.9833,82.4,69,20,5.75,few clouds
211,Yar-Sale,RU,66.8333,70.8333,12.6,78,94,22.77,overcast clouds
212,Flinders,AU,-34.5833,150.8552,79.0,89,0,3.0,clear sky
213,Port Lincoln,AU,-34.7333,135.8667,63.12,67,100,22.17,overcast clouds
214,Maracacume,BR,-2.0428,-45.9592,74.79,95,91,3.27,overcast clouds
215,Yulara,AU,-25.2406,130.9889,75.2,73,90,10.36,overcast clouds
216,Castro,BR,-24.7911,-50.0119,65.43,71,6,2.62,clear sky
217,Tefe,BR,-3.3542,-64.7114,78.8,89,40,5.75,moderate rain
218,Great Yarmouth,GB,52.6083,1.7305,44.6,76,87,12.66,overcast clouds
219,Voh,NC,-20.9667,164.7,82.17,65,59,5.84,broken clouds
220,Bathsheba,BB,13.2167,-59.5167,78.8,65,40,18.41,scattered clouds
221,Nishihara,JP,26.1842,127.7558,64.4,51,90,8.05,overcast clouds
222,Pochutla,MX,15.7432,-96.4661,88.0,51,1,11.5,clear sky
223,Lesosibirsk,RU,58.2358,92.4828,4.17,95,89,6.35,overcast clouds
224,Norman Wells,CA,65.282,-126.8329,-2.2,60,90,18.41,snow
225,Tonantins,BR,-2.8731,-67.8022,77.2,83,68,1.68,broken clouds
226,Djambala,CG,-2.5447,14.7533,64.33,88,99,0.92,overcast clouds
227,Marawi,PH,7.9986,124.2928,73.0,96,99,3.0,overcast clouds
228,Ust-Ordynskiy,RU,52.805,104.7508,32.0,59,0,13.42,clear sky
229,Eenhana,NA,-17.4667,16.3333,71.89,63,22,5.97,few clouds
230,Karratha,AU,-20.7377,116.8463,84.61,63,1,2.66,clear sky
231,Aksarka,RU,66.5606,67.7975,15.01,76,100,24.25,overcast clouds
232,Mayo,US,38.8876,-76.5119,68.0,40,1,9.22,clear sky
233,Lorengau,PG,-2.0226,147.2712,84.2,63,94,3.33,overcast clouds
234,Solnechnyy,RU,50.7214,136.6319,26.44,78,78,2.8,broken clouds
235,Tiksi,RU,71.6872,128.8694,-15.83,96,100,7.63,overcast clouds
236,Itarema,BR,-2.9248,-39.9167,79.25,79,100,12.15,overcast clouds
237,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.09,88,98,8.63,overcast clouds
238,Annau,TM,37.8876,58.516,32.0,93,90,11.5,light snow
239,Burns Lake,CA,54.2331,-125.7533,44.6,57,100,4.61,overcast clouds
240,Quatre Cocos,MU,-20.2078,57.7625,78.8,73,40,6.91,scattered clouds
241,Walvis Bay,NA,-22.9575,14.5053,62.01,94,0,9.22,clear sky
242,Waingapu,ID,-9.6567,120.2641,79.12,81,100,4.07,moderate rain
243,Saskylakh,RU,71.9167,114.0833,-21.32,91,49,11.79,scattered clouds
244,Ocos,GT,14.5094,-92.1933,91.4,49,1,9.22,clear sky
245,Tiznit,MA,29.5833,-9.5,58.84,56,9,0.29,clear sky
246,Moses Lake,US,47.1301,-119.2781,55.4,26,1,8.05,clear sky
247,Alibag,IN,18.6411,72.8792,78.8,78,45,4.61,mist
248,Saint-Philippe,RE,-21.3585,55.7679,77.0,69,0,8.05,clear sky
249,Harper,LR,4.375,-7.7169,79.11,87,90,5.93,overcast clouds
250,Soloneshnoye,RU,51.6544,84.3197,16.41,96,100,4.5,snow
251,Nerchinskiy Zavod,RU,51.3088,119.61,14.63,82,30,3.71,scattered clouds
